contest,ground_truth,decoded,E,pass,published_tally,recovered_point,aggregate_ciphertext,dkg_sha256,tally_sha256,ballots_sha256,source,ledger_matches_local
senator/cand2,173,173,0,true,173,3624296b546f2f84a7bc8d1c9fe6d465e267daa27f72128eb6cc1c4abb794337,b268d940a992a9b74232393bbb4caf79e62336cb470862b8b999681890bfde5a,e9b4b6f50d74ffe3bd76e33ecee0c0dbd05bbb48b3bb78516195820dfd0b10ed,e99d771f8e5aca788ca68b8895bc05f7e179dee158ad0ecd67dcbef3126a33f5,8510903ae13a197704b4fb4db60b3b933719be07479fc03a596d4c17339fd51d,local,true
senator/cand3,154,154,0,true,154,4ce38534389c49a395d768f0bb0237f573531e2f04dd9b1d07e8569fc34a0073,c66584a6d0406f3e6942472e1ed0ee5aaa1e2f96b7f9605b888f7231523d1405,e9b4b6f50d74ffe3bd76e33ecee0c0dbd05bbb48b3bb78516195820dfd0b10ed,e99d771f8e5aca788ca68b8895bc05f7e179dee158ad0ecd67dcbef3126a33f5,8510903ae13a197704b4fb4db60b3b933719be07479fc03a596d4c17339fd51d,local,true
president/cand0,490,490,0,true,490,32e63d9578e4ef4924683bab0c482106fb1cb035c3ecf44d147d70cc9a5b842c,c62bdf179046e47ec4cc4ec795db0a413d2893f4c70d2b76ae6e7012fcbcb802,e9b4b6f50d74ffe3bd76e33ecee0c0dbd05bbb48b3bb78516195820dfd0b10ed,e99d771f8e5aca788ca68b8895bc05f7e179dee158ad0ecd67dcbef3126a33f5,4dab120939f451da2500598d284cc24d6a0bfb6c39450d3cf648a6805b8c87b6,ledger,true
president/cand1,180,180,0,true,180,103bcff8c6ec3ffe8d2dc5ee573ae36ac4e919fb8fa20f8adf3f73de9d81a407,508b7a6f998e5f5c22525d390c40218a50776ceb8efaf0dce3ef740fd7bd9b56,e9b4b6f50d74ffe3bd76e33ecee0c0dbd05bbb48b3bb78516195820dfd0b10ed,e99d771f8e5aca788ca68b8895bc05f7e179dee158ad0ecd67dcbef3126a33f5,4dab120939f451da2500598d284cc24d6a0bfb6c39450d3cf648a6805b8c87b6,ledger,true
president/cand2,170,170,0,true,170,d27e86a3fef5fc796e0c83aad1a9735d32590b980133ca68e7184fe74923f803,6479447dc8f09a33fa12edfd7b63384600a9991ed2eba0e411beda526749b966,e9b4b6f50d74ffe3bd76e33ecee0c0dbd05bbb48b3bb78516195820dfd0b10ed,e99d771f8e5aca788ca68b8895bc05f7e179dee158ad0ecd67dcbef3126a33f5,4dab120939f451da2500598d284cc24d6a0bfb6c39450d3cf648a6805b8c87b6,ledger,true
president/cand3,160,160,0,true,160,124f288e9cde61e6b965a69040d7c60405d94d494a0c5a35d65526cb980d9c01,c62aabc539a85f4b0c6df00f709fd2047523eb4c5f6a960f31ceb78b34820657,e9b4b6f50d74ffe3bd76e33ecee0c0dbd05bbb48b3bb78516195820dfd0b10ed,e99d771f8e5aca788ca68b8895bc05f7e179dee158ad0ecd67dcbef3126a33f5,4dab120939f451da2500598d284cc24d6a0bfb6c39450d3cf648a6805b8c87b6,ledger,true
vice-president/cand0,485,485,0,true,485,48517235507c48cdf95523001ffae318e7bf417d7b9fa63e860541ae644b8408,4e4b2dd31cc1ef1a2db87ac01647f473b0edef4e41f3b1f3252136fd82473e73,e9b4b6f50d74ffe3bd76e33ecee0c0dbd05bbb48b3bb78516195820dfd0b10ed,e99d771f8e5aca788ca68b8895bc05f7e179dee158ad0ecd67dcbef3126a33f5,4dab120939f451da2500598d284cc24d6a0bfb6c39450d3cf648a6805b8c87b6,ledger,true
vice-president/cand1,186,186,0,true,186,0a0781a73bb33b7e92746b0526ad67c322949c15c5bcaedb00a053301cce0511,0ad7fb762056d74bf4b2aced3e6d547f0a9cf528ff951cd56ea7e5d201007472,e9b4b6f50d74ffe3bd76e33ecee0c0dbd05bbb48b3bb78516195820dfd0b10ed,e99d771f8e5aca788ca68b8895bc05f7e179dee158ad0ecd67dcbef3126a33f5,4dab120939f451da2500598d284cc24d6a0bfb6c39450d3cf648a6805b8c87b6,ledger,true
vice-president/cand2,172,172,0,true,172,3ca5fd0796c9ca60e486c53650239b521b0d8c8421893e8c467e240a3c089e6d,8695d46a12105590707125bd12c6f786eb61a30c74583b3c39e048b0d9ed264e,e9b4b6f50d74ffe3bd76e33ecee0c0dbd05bbb48b3bb78516195820dfd0b10ed,e99d771f8e5aca788ca68b8895bc05f7e179dee158ad0ecd67dcbef3126a33f5,4dab120939f451da2500598d284cc24d6a0bfb6c39450d3cf648a6805b8c87b6,ledger,true
vice-president/cand3,157,157,0,true,157,e8060fb2062748a78d93482e02081d4d0142f20e60dd93dadf854a14ab2a4870,a4240fa99f5411d1790a125a0efd2157ed176e7ddae2415bf04778def4dbf956,e9b4b6f50d74ffe3bd76e33ecee0c0dbd05bbb48b3bb78516195820dfd0b10ed,e99d771f8e5aca788ca68b8895bc05f7e179dee158ad0ecd67dcbef3126a33f5,4dab120939f451da2500598d284cc24d6a0bfb6c39450d3cf648a6805b8c87b6,ledger,true
senator/cand0,480,480,0,true,480,8235ea86588938be8e1f9ac2251b0e6c8e6cd25d4e8f0bcfd6220d663f6fc33f,3073f2410cccd4eb8a40712e6926ab477e5537c32729f1041081e6ee0bbe996f,e9b4b6f50d74ffe3bd76e33ecee0c0dbd05bbb48b3bb78516195820dfd0b10ed,e99d771f8e5aca788ca68b8895bc05f7e179dee158ad0ecd67dcbef3126a33f5,4dab120939f451da2500598d284cc24d6a0bfb6c39450d3cf648a6805b8c87b6,ledger,true
senator/cand1,193,193,0,true,193,e2ead509ecf513e8eef93b4069eef84ff0a96e360eb3be3fa607530506f1b959,20040fd364e349efc51977fde9ca3d069ab8c35e3092d04305b6f5117ea1bb24,e9b4b6f50d74ffe3bd76e33ecee0c0dbd05bbb48b3bb78516195820dfd0b10ed,e99d771f8e5aca788ca68b8895bc05f7e179dee158ad0ecd67dcbef3126a33f5,4dab120939f451da2500598d284cc24d6a0bfb6c39450d3cf648a6805b8c87b6,ledger,true
senator/cand2,173,173,0,true,173,3624296b546f2f84a7bc8d1c9fe6d465e267daa27f72128eb6cc1c4abb794337,b268d940a992a9b74232393bbb4caf79e62336cb470862b8b999681890bfde5a,e9b4b6f50d74ffe3bd76e33ecee0c0dbd05bbb48b3bb78516195820dfd0b10ed,e99d771f8e5aca788ca68b8895bc05f7e179dee158ad0ecd67dcbef3126a33f5,4dab120939f451da2500598d284cc24d6a0bfb6c39450d3cf648a6805b8c87b6,ledger,true
senator/cand3,154,154,0,true,154,4ce38534389c49a395d768f0bb0237f573531e2f04dd9b1d07e8569fc34a0073,c66584a6d0406f3e6942472e1ed0ee5aaa1e2f96b7f9605b888f7231523d1405,e9b4b6f50d74ffe3bd76e33ecee0c0dbd05bbb48b3bb78516195820dfd0b10ed,e99d771f8e5aca788ca68b8895bc05f7e179dee158ad0ecd67dcbef3126a33f5,4dab120939f451da2500598d284cc24d6a0bfb6c39450d3cf648a6805b8c87b6,ledger,true
