contest,ground_truth,decoded,E,pass,published_tally,recovered_point,aggregate_ciphertext,dkg_sha256,tally_sha256,ballots_sha256,source,ledger_matches_local
senator/cand2,173,173,0,true,173,3624296b546f2f84a7bc8d1c9fe6d465e267daa27f72128eb6cc1c4abb794337,c840f695e6398510b7b24621866c0c50220466b119c4c0ee3f02d7895f629d62,55939e167d5c83212c9ab71e30b4634492b6f1528eff63f8ad1f47e0edd7de3e,4c2b5335681c9df2ff4830cf75a4538766e6ee44f0b86d07ed8e2c54d2fb2471,53cf35a54151ee6fd829919a599d962c92a180b96233b932c2aae5c20765f6a7,local,true
senator/cand3,154,154,0,true,154,4ce38534389c49a395d768f0bb0237f573531e2f04dd9b1d07e8569fc34a0073,186b0f5852f7cef6c83da896d9a9a6b861242b3dd360913838260d6a80d1ea21,55939e167d5c83212c9ab71e30b4634492b6f1528eff63f8ad1f47e0edd7de3e,4c2b5335681c9df2ff4830cf75a4538766e6ee44f0b86d07ed8e2c54d2fb2471,53cf35a54151ee6fd829919a599d962c92a180b96233b932c2aae5c20765f6a7,local,true
president/cand0,490,490,0,true,490,32e63d9578e4ef4924683bab0c482106fb1cb035c3ecf44d147d70cc9a5b842c,be3db39f34b959dc9de65ee2fde923180f492454bd557b48eef696f1d8ff2633,55939e167d5c83212c9ab71e30b4634492b6f1528eff63f8ad1f47e0edd7de3e,4c2b5335681c9df2ff4830cf75a4538766e6ee44f0b86d07ed8e2c54d2fb2471,327a60a60d1bfc2ef64a6ad8783e4c86ce8251acb6b569a8421f84d8ff12c185,ledger,true
president/cand1,180,180,0,true,180,103bcff8c6ec3ffe8d2dc5ee573ae36ac4e919fb8fa20f8adf3f73de9d81a407,7ace08fd9b6f608d05a67bf86ed476f1bb0c7de97bfce5a2ce0e5a80a2dbc359,55939e167d5c83212c9ab71e30b4634492b6f1528eff63f8ad1f47e0edd7de3e,4c2b5335681c9df2ff4830cf75a4538766e6ee44f0b86d07ed8e2c54d2fb2471,327a60a60d1bfc2ef64a6ad8783e4c86ce8251acb6b569a8421f84d8ff12c185,ledger,true
president/cand2,170,170,0,true,170,d27e86a3fef5fc796e0c83aad1a9735d32590b980133ca68e7184fe74923f803,127bb17c3eeb70cf8dfe3158d4941ed04d878c77212ece985dbb1ad0ba99ca30,55939e167d5c83212c9ab71e30b4634492b6f1528eff63f8ad1f47e0edd7de3e,4c2b5335681c9df2ff4830cf75a4538766e6ee44f0b86d07ed8e2c54d2fb2471,327a60a60d1bfc2ef64a6ad8783e4c86ce8251acb6b569a8421f84d8ff12c185,ledger,true
president/cand3,160,160,0,true,160,124f288e9cde61e6b965a69040d7c60405d94d494a0c5a35d65526cb980d9c01,0a194b2eac6c46f86a5bbc2c9a7c81acfca398c5e1b5ffdadd7b1f8df7418d6d,55939e167d5c83212c9ab71e30b4634492b6f1528eff63f8ad1f47e0edd7de3e,4c2b5335681c9df2ff4830cf75a4538766e6ee44f0b86d07ed8e2c54d2fb2471,327a60a60d1bfc2ef64a6ad8783e4c86ce8251acb6b569a8421f84d8ff12c185,ledger,true
vice-president/cand0,485,485,0,true,485,48517235507c48cdf95523001ffae318e7bf417d7b9fa63e860541ae644b8408,da8ae63fdbdf3d7365493a185a0c95599e8ec47d8c092b45b50b5bab5fcce331,55939e167d5c83212c9ab71e30b4634492b6f1528eff63f8ad1f47e0edd7de3e,4c2b5335681c9df2ff4830cf75a4538766e6ee44f0b86d07ed8e2c54d2fb2471,327a60a60d1bfc2ef64a6ad8783e4c86ce8251acb6b569a8421f84d8ff12c185,ledger,true
vice-president/cand1,186,186,0,true,186,0a0781a73bb33b7e92746b0526ad67c322949c15c5bcaedb00a053301cce0511,fe2013bd732c7d4b77ce7765aaf872383c708119dbdea0330dd832e7aa33d81e,55939e167d5c83212c9ab71e30b4634492b6f1528eff63f8ad1f47e0edd7de3e,4c2b5335681c9df2ff4830cf75a4538766e6ee44f0b86d07ed8e2c54d2fb2471,327a60a60d1bfc2ef64a6ad8783e4c86ce8251acb6b569a8421f84d8ff12c185,ledger,true
vice-president/cand2,172,172,0,true,172,3ca5fd0796c9ca60e486c53650239b521b0d8c8421893e8c467e240a3c089e6d,ee0faf239c4a22a141038e9bf761c5b5cc63c526eec162c489844787be6ccb1e,55939e167d5c83212c9ab71e30b4634492b6f1528eff63f8ad1f47e0edd7de3e,4c2b5335681c9df2ff4830cf75a4538766e6ee44f0b86d07ed8e2c54d2fb2471,327a60a60d1bfc2ef64a6ad8783e4c86ce8251acb6b569a8421f84d8ff12c185,ledger,true
vice-president/cand3,157,157,0,true,157,e8060fb2062748a78d93482e02081d4d0142f20e60dd93dadf854a14ab2a4870,c6d28f067f0b39e52f0f10af3ec7619d52cee376d8e985af8c230d2a5056e837,55939e167d5c83212c9ab71e30b4634492b6f1528eff63f8ad1f47e0edd7de3e,4c2b5335681c9df2ff4830cf75a4538766e6ee44f0b86d07ed8e2c54d2fb2471,327a60a60d1bfc2ef64a6ad8783e4c86ce8251acb6b569a8421f84d8ff12c185,ledger,true
senator/cand0,480,480,0,true,480,8235ea86588938be8e1f9ac2251b0e6c8e6cd25d4e8f0bcfd6220d663f6fc33f,24b3f84bfe3fa70629e7af02c89af6a05aae799369e630dd2f98a9d9712f375e,55939e167d5c83212c9ab71e30b4634492b6f1528eff63f8ad1f47e0edd7de3e,4c2b5335681c9df2ff4830cf75a4538766e6ee44f0b86d07ed8e2c54d2fb2471,327a60a60d1bfc2ef64a6ad8783e4c86ce8251acb6b569a8421f84d8ff12c185,ledger,true
senator/cand1,193,193,0,true,193,e2ead509ecf513e8eef93b4069eef84ff0a96e360eb3be3fa607530506f1b959,841f6b6b7f6f67f135f1631b97b9bc0f278729de9732dac43f2849c903502460,55939e167d5c83212c9ab71e30b4634492b6f1528eff63f8ad1f47e0edd7de3e,4c2b5335681c9df2ff4830cf75a4538766e6ee44f0b86d07ed8e2c54d2fb2471,327a60a60d1bfc2ef64a6ad8783e4c86ce8251acb6b569a8421f84d8ff12c185,ledger,true
senator/cand2,173,173,0,true,173,3624296b546f2f84a7bc8d1c9fe6d465e267daa27f72128eb6cc1c4abb794337,c840f695e6398510b7b24621866c0c50220466b119c4c0ee3f02d7895f629d62,55939e167d5c83212c9ab71e30b4634492b6f1528eff63f8ad1f47e0edd7de3e,4c2b5335681c9df2ff4830cf75a4538766e6ee44f0b86d07ed8e2c54d2fb2471,327a60a60d1bfc2ef64a6ad8783e4c86ce8251acb6b569a8421f84d8ff12c185,ledger,true
senator/cand3,154,154,0,true,154,4ce38534389c49a395d768f0bb0237f573531e2f04dd9b1d07e8569fc34a0073,186b0f5852f7cef6c83da896d9a9a6b861242b3dd360913838260d6a80d1ea21,55939e167d5c83212c9ab71e30b4634492b6f1528eff63f8ad1f47e0edd7de3e,4c2b5335681c9df2ff4830cf75a4538766e6ee44f0b86d07ed8e2c54d2fb2471,327a60a60d1bfc2ef64a6ad8783e4c86ce8251acb6b569a8421f84d8ff12c185,ledger,true
