contest,ground_truth,decoded,E,pass,published_tally,recovered_point,aggregate_ciphertext,dkg_sha256,tally_sha256,ballots_sha256,source,ledger_matches_local
president/cand1,180,180,0,true,180,103bcff8c6ec3ffe8d2dc5ee573ae36ac4e919fb8fa20f8adf3f73de9d81a407,b6b32bf89607911b2658a2ad851fd55dae2c3629cea661f3525d972df6d32861,91b3b892e52a4c09ecb096c2122a5438e3e53ec8408ff96abe550abe4944e04e,8d545448451311809717f1d50532e710a3fc26297547bdd7d49a2899be09e968,c06ab8b9edf983385c4d06f3220e5abcbddcb16b8d480abc1f2724fb3d5c5c8b,ledger,true
president/cand2,170,170,0,true,170,d27e86a3fef5fc796e0c83aad1a9735d32590b980133ca68e7184fe74923f803,d40d371a16446d852bfe506f3596e77b87ae28f6b55369615ecdf70c2546fb22,91b3b892e52a4c09ecb096c2122a5438e3e53ec8408ff96abe550abe4944e04e,8d545448451311809717f1d50532e710a3fc26297547bdd7d49a2899be09e968,c06ab8b9edf983385c4d06f3220e5abcbddcb16b8d480abc1f2724fb3d5c5c8b,ledger,true
president/cand3,160,160,0,true,160,124f288e9cde61e6b965a69040d7c60405d94d494a0c5a35d65526cb980d9c01,f601ee71de55852bc419dcc4ba8ab49ba0230ee4556622cece9d39fcca3ee503,91b3b892e52a4c09ecb096c2122a5438e3e53ec8408ff96abe550abe4944e04e,8d545448451311809717f1d50532e710a3fc26297547bdd7d49a2899be09e968,c06ab8b9edf983385c4d06f3220e5abcbddcb16b8d480abc1f2724fb3d5c5c8b,ledger,true
vice-president/cand0,485,485,0,true,485,48517235507c48cdf95523001ffae318e7bf417d7b9fa63e860541ae644b8408,ca6f589e2a22e473cdeb3bcaf32e9072e660dae86fd37b57816f9cf22afca80b,91b3b892e52a4c09ecb096c2122a5438e3e53ec8408ff96abe550abe4944e04e,8d545448451311809717f1d50532e710a3fc26297547bdd7d49a2899be09e968,c06ab8b9edf983385c4d06f3220e5abcbddcb16b8d480abc1f2724fb3d5c5c8b,ledger,true
vice-president/cand1,186,186,0,true,186,0a0781a73bb33b7e92746b0526ad67c322949c15c5bcaedb00a053301cce0511,3a88e9845f12c3e09bcd73210f658371f2af242a96ebc1cca4368b85afd1d065,91b3b892e52a4c09ecb096c2122a5438e3e53ec8408ff96abe550abe4944e04e,8d545448451311809717f1d50532e710a3fc26297547bdd7d49a2899be09e968,c06ab8b9edf983385c4d06f3220e5abcbddcb16b8d480abc1f2724fb3d5c5c8b,ledger,true
vice-president/cand2,172,172,0,true,172,3ca5fd0796c9ca60e486c53650239b521b0d8c8421893e8c467e240a3c089e6d,ae04e11185f4f30b355bbb08b84d65222eff629ca85d60facf5ab5ce11c14812,91b3b892e52a4c09ecb096c2122a5438e3e53ec8408ff96abe550abe4944e04e,8d545448451311809717f1d50532e710a3fc26297547bdd7d49a2899be09e968,c06ab8b9edf983385c4d06f3220e5abcbddcb16b8d480abc1f2724fb3d5c5c8b,ledger,true
vice-president/cand3,157,157,0,true,157,e8060fb2062748a78d93482e02081d4d0142f20e60dd93dadf854a14ab2a4870,3661078835659549a4b23d317136149de0f1584fc054b5393a7fceb5eca7664a,91b3b892e52a4c09ecb096c2122a5438e3e53ec8408ff96abe550abe4944e04e,8d545448451311809717f1d50532e710a3fc26297547bdd7d49a2899be09e968,c06ab8b9edf983385c4d06f3220e5abcbddcb16b8d480abc1f2724fb3d5c5c8b,ledger,true
senator/cand0,480,480,0,true,480,8235ea86588938be8e1f9ac2251b0e6c8e6cd25d4e8f0bcfd6220d663f6fc33f,f422ed5fba9e7933196707a67edbe729315b7dd5b5f4100d5e42ed02cc43b959,91b3b892e52a4c09ecb096c2122a5438e3e53ec8408ff96abe550abe4944e04e,8d545448451311809717f1d50532e710a3fc26297547bdd7d49a2899be09e968,c06ab8b9edf983385c4d06f3220e5abcbddcb16b8d480abc1f2724fb3d5c5c8b,ledger,true
senator/cand1,193,193,0,true,193,e2ead509ecf513e8eef93b4069eef84ff0a96e360eb3be3fa607530506f1b959,ba7ca3000542948ca35a129bd58c9cfdfc84d18752f054f24fa4585e4bcb0051,91b3b892e52a4c09ecb096c2122a5438e3e53ec8408ff96abe550abe4944e04e,8d545448451311809717f1d50532e710a3fc26297547bdd7d49a2899be09e968,c06ab8b9edf983385c4d06f3220e5abcbddcb16b8d480abc1f2724fb3d5c5c8b,ledger,true
senator/cand2,173,173,0,true,173,3624296b546f2f84a7bc8d1c9fe6d465e267daa27f72128eb6cc1c4abb794337,7cced155ccb8db8b1519ef5863bc9c1440c685741bf5ced2e1ddf67a719dbb76,91b3b892e52a4c09ecb096c2122a5438e3e53ec8408ff96abe550abe4944e04e,8d545448451311809717f1d50532e710a3fc26297547bdd7d49a2899be09e968,c06ab8b9edf983385c4d06f3220e5abcbddcb16b8d480abc1f2724fb3d5c5c8b,ledger,true
senator/cand3,154,154,0,true,154,4ce38534389c49a395d768f0bb0237f573531e2f04dd9b1d07e8569fc34a0073,0c902190bc5e680f383cd9ac91fe1af675af75525fc1df568d834fafaea4e00f,91b3b892e52a4c09ecb096c2122a5438e3e53ec8408ff96abe550abe4944e04e,8d545448451311809717f1d50532e710a3fc26297547bdd7d49a2899be09e968,c06ab8b9edf983385c4d06f3220e5abcbddcb16b8d480abc1f2724fb3d5c5c8b,ledger,true
